p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.1909719900846583e-6,0.9037135341527784,0.351,0.107,0.07141076216610456,16,PIGP
3.220722896792862e-6,0.5424769403544991,0.351,0.103,0.07207655770732746,16,TRAPPC6A
3.2287593457372936e-6,1.0033619748384304,0.27,0.07,0.0722564053982549,16,PUS7L
3.2429600265520806e-6,0.4810781676415603,0.351,0.104,0.072574202434209,16,ZNF326
3.254191659019899e-6,0.5106098213378802,0.459,0.16,0.07282555513720632,16,WDR45B
3.270701887607734e-6,0.3699895179913324,0.514,0.186,0.07319503754277348,16,FYN
3.2880695454287874e-6,0.560207903711569,0.757,0.339,0.07358370835715083,16,MFGE8
3.2883404195702845e-6,1.3288878093795284,0.432,0.154,0.0735897702495634,16,AIP
3.301250621703908e-6,0.4477386765325311,0.459,0.157,0.07387868766311176,16,NDUFS2
3.3104198888842387e-6,1.2446333487679162,0.297,0.083,0.07408388669334037,16,UBAC1
3.3867707079577762e-6,1.2985949394961331,0.27,0.069,0.07579254167338707,16,COA5
3.4536976210789166e-6,0.8787226251723402,0.351,0.106,0.07729029906212508,16,MPRIP
3.4579248385176596e-6,1.1315302502504903,0.27,0.07,0.0773848999611867,16,RABIF
3.4593915771421246e-6,0.34560537715791284,0.568,0.218,0.07741772410486361,16,NUDT4
3.5254557755053942e-6,0.8089118158121154,0.324,0.094,0.07889617480003522,16,LIX1L
3.5372680764908876e-6,1.0236201138635714,0.297,0.082,0.07916052228378957,16,BECN1
3.5964203329467245e-6,1.0983701380103683,0.27,0.071,0.08048429063101475,16,AFG3L2
3.6050160677921335e-6,0.7047720048662465,0.351,0.107,0.08067665458112015,16,NCOR2
3.6621901714306433e-6,1.1189335972949817,0.405,0.135,0.08195615384644636,16,DAP3
3.7849141509294965e-6,0.7481066619083128,0.297,0.081,0.0847025937836512,16,TYW3
3.8013713273781617e-6,0.520918293329131,0.486,0.167,0.08507088893539588,16,GLRX3
3.8547096611938705e-6,0.7413638512533388,0.73,0.351,0.08626454750785763,16,MRFAP1
3.869380172538323e-6,0.47276006523957964,0.486,0.172,0.08659285888123512,16,DNAJC19
3.906521179438048e-6,0.8906270168978001,0.432,0.147,0.08742403747464407,16,SSBP4
3.948163246469659e-6,0.8080068423775397,0.784,0.465,0.0883559452927445,16,YWHAQ
3.981016749602711e-6,1.192105987853772,0.378,0.123,0.08909117383935906,16,SIGIRR
4.030351756296554e-6,0.9663108788085895,0.297,0.083,0.09019524195416058,16,ARFGAP2
4.0375670512004284e-6,0.6333798143246159,0.946,0.597,0.09035671303881439,16,SUMO2
4.0608280500033314e-6,0.9423371954702153,0.405,0.134,0.09087727093102456,16,NSFL1C
4.182472069405964e-6,1.1113074532658427,0.378,0.124,0.09359954244123607,16,SHARPIN
4.192788501422931e-6,1.3244742107167582,0.459,0.171,0.09383041387334377,16,FRMD6
4.2299474634042065e-6,0.6602340700669971,0.324,0.095,0.09466199428352273,16,GNPTG
4.26080437921836e-6,0.7732775588884097,0.432,0.151,0.09535254120252767,16,ANK2
4.312230666888982e-6,0.7907544887639876,0.541,0.216,0.09650341009430853,16,NDUFA10
4.372751160768167e-6,0.8132595824551652,0.568,0.244,0.09785779822683081,16,PRPF40A
4.395482993455485e-6,2.0224268564240844,0.27,0.074,0.09836651391054031,16,AC100810.1
4.479408542934182e-6,0.8783848978938306,0.459,0.169,0.10024468378232407,16,COPA
4.512514174204578e-6,0.622304547619639,0.514,0.195,0.10098555470452426,16,FAM204A
4.559234668617998e-6,0.9900511391723543,0.27,0.071,0.10203111264900218,16,SHLD2
4.707390757892185e-6,0.5636728862045,0.811,0.39,0.1053466977708692,16,WDR83OS
4.7281634474081165e-6,1.2043050478505892,0.378,0.125,0.10581156978954624,16,PBDC1
4.73096876034101e-6,0.5278499471989481,0.73,0.349,0.10587434988767146,16,ATP5MPL
4.753607929123458e-6,1.0056471227396506,0.622,0.306,0.10638099184585388,16,PSMB7
4.786324713675699e-6,0.8490040015129312,0.514,0.203,0.10711316076734846,16,POLR2G
4.828269607201979e-6,0.6678603955087206,0.514,0.194,0.10805184553957309,16,DLC1
4.853323340427783e-6,0.6406714240551314,0.73,0.359,0.10861252303543335,16,NDUFB8
